"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"EVAIR VIEIRA DE MELO";"0009";"CASTELO - ES";"Educação";"Educação básica";"5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS";"202430930009";"54.922,39";"0,00";"0,00";"109.844,78";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ERIKA KOKAY";"0005";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202428260005";"80.000,00";"0,00";"0,00";"160.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PATRUS ANANIAS";"0013";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"202414080013";"89.800,00";"0,00";"0,00";"89.800,00";"0,00";"89.800,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CLEITINHO";"0001";"SANTO ANTÔNIO DO JACINTO - MG";"Educação";"Educação básica";"5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS";"202442670001";"95.533,81";"0,00";"0,00";"191.067,62";"0,00";"0,00";
"2024";"Emenda de Bancada";"BANCADA DO CEARA";"0007";"CEARÁ (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS";"202471070007";"98.417,50";"0,00";"0,00";"183.150,00";"0,00";"13.685,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"NETO CARLETTO";"0005";"PORTO SEGURO - BA";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"202444380005";"99.582,00";"0,00";"0,00";"199.164,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LIDICE DA MATA";"0004";"BAHIA (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"202424680004";"99.869,85";"23.460,00";"23.460,00";"152.079,80";"0,00";"739,90";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ARLINDO CHINAGLIA";"0013";"SÃO PAULO (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS";"202431350013";"100.000,00";"92.690,00";"92.690,00";"14.620,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ADOLFO VIANA";"0001";"BAHIA (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS";"202438980001";"100.000,00";"0,00";"0,00";"200.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ARLINDO CHINAGLIA";"0005";"SÃO PAULO (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202431350005";"100.000,00";"0,00";"0,00";"111.300,66";"0,00";"88.699,34";
